id,property_name,avg_price_per_night,guests,bedrooms,beds,baths,reviews,Rating,Ocupação,Receita Bruta
7158567,Brand new condo with amazing view!!,$119.00,6,2,2,2,71,5,72.50%,"$31,490.38"
10549074,Private 2 bedroom Apartment in POOL home,$49.00,4,2,2,1,161,5,79.08%,"$14,144.05"
20000007,MyRental Property 41,$129.00,4,2,2,2,39,5,79.67%,"$37,511.05"
6629005,"Fantasy World 2br, Universal Studio",$110.00,6,2,3,2,201,5,79.00%,"$31,718.50"
29000584,Fantasy World Resort - Disney / Universal Studios,$118.00,6,2,3,2,8,5,80.42%,"$34,635.46"
7817121,Fantasy World 2 bed/2 bath - Sea World,$89.00,6,2,3,2,151,5,81.42%,"$26,448.20"
20362503,"Fantasy World Resort ,free shuttle to all Parks",$135.00,8,2,3,2,37,5,79.58%,"$39,214.69"
19805706,Free water park! Luxury 2BR -10 minutes to Disney,$95.00,6,2,3,2,69,4.5,82.33%,"$28,549.08"
6316725,2BED/2BATH PREMIUM LARGE CONDO - VISTA CAY (2002),$139.00,5,2,3,2,62,5,83.08%,"$42,152.33"
6629060,Fantasy World 2br - Fantasy Boardwalk,$100.00,6,2,3,2,86,5,76.17%,"$27,800.83"
8608361,Fantasy World 2br - Rosie,$82.00,6,2,3,2,122,5,79.75%,"$23,869.18"
20483092,Fantasy World 2br - Disney MGM Studios #2,$85.00,6,2,3,2,49,5,77.25%,"$23,966.81"
14121078,3 mi to Disney!*Spacious 2BR/2BA+Loft Resort Condo,$90.00,6,2,3,2,42,5,82.08%,"$26,964.38"
12762999,Stay near Disney World at Windsor Hills Resort,$90.00,6,2,3,2,80,5,80.67%,"$26,499.00"
16733936,"3 Luxury Bed/Bath-Disney,Universal, Seaworld,Conv",$80.00,7,2,3,2,61,5,74.25%,"$21,681.00"
21275497,Kiki's Townhouse (Regal Oaks Resort),$115.00,8,2,3,2.5,40,5,75.08%,"$31,516.23"
8240267,15 Minutes From Disney ★ Full Kitchen And Balcony,$78.00,5,2,3,1,81,5,75.75%,"$21,566.03"
9215121,Resort in the Heart of Orlando!,$78.00,4,2,3,2,108,5,83.42%,"$23,748.73"
16929290,"4 Luxury Bed/Bath-Disney,Universal, Seaworld,Conv",$80.00,7,2,3,2,52,5,79.42%,"$23,189.67"
22158655,Sand Castle Cottage #98 at Disney,$75.00,7,2,3,1,38,5,77.92%,"$21,329.69"
22526082,house near parks,$70.00,4,2,3,1,18,5,80.67%,"$20,610.33"
20000008,MyRental Property 40,$138.00,4,2,3,2,34,5,78.50%,"$39,540.45"
22679214,Incredible FantasyWorld NewlyRenovated Near Disney,$100.00,8,2,4,2,61,5,80.50%,"$29,382.50"
4455332,Beautiful & spacious near Disney,$85.00,7,2,4,2,177,5,78.00%,"$24,199.50"
8932762,Fun in Fantasy very close to Disney,$135.00,6,2,4,2,116,4.5,77.50%,"$38,188.13"
21349367,BreathTaking!FantasyWorld NewlyRenovated Nr Disney,$59.00,8,2,4,2,46,4.5,79.67%,"$17,156.22"
23915896,Fantasy World Resort 2 Bedroom near Disney A,$112.00,6,2,4,2,29,5,78.08%,"$31,920.47"
19762740,Fantasy World 2br - Wet N Wild #3,$90.00,6,2,4,2,72,4.5,77.42%,"$25,431.38"
25297365,"Fantasy World 2br, Luxury on Wet N Wild.",$97.00,6,2,4,2,34,5,77.92%,"$27,586.40"
5900089,Renovated townhouse with waterpark!,$119.00,6,2,4,2,96,5,80.83%,"$35,109.96"
24676791,NO AIRBNB FEES! 5 Miles 2 Disney-Free Water Park-D,$99.00,6,2,4,2,34,5,79.17%,"$28,606.88"
23634628,Beautiful New Resort-Style Condo Near Theme Parks,$114.00,5,2,4,2,45,5,75.58%,"$31,450.23"
17867573,"Fantasy World 2br, Wet N Wild #2, 10min to Disney!",$90.00,6,2,4,2,81,5,83.50%,"$27,429.75"
2206869,Runaway Beach Club - 2br/2bath 1300 sqft sleeps 6,$81.00,7,2,4,2,187,5,75.92%,"$22,444.76"
933642,LUXURY VILLA 1.5 MILES TO DISNEY,$77.00,5,2,4,2,75,5,81.33%,"$22,858.73"
