id,property_name,avg_price_per_night,guests,bedrooms,beds,baths,reviews,Rating,Ocupação,Receita Bruta
7158567,Brand new condo with amazing view!!,119.00,6.00,2.00,2.00,2.00,71.00,5.00,0.73,31490.38
10549074,Private 2 bedroom Apartment in POOL home,49.00,4.00,2.00,2.00,1.00,161.00,5.00,0.79,14144.05
20000007,MyRental Property 41,129.00,4.00,2.00,2.00,2.00,39.00,5.00,0.80,37511.05
6629005,"Fantasy World 2br, Universal Studio",110.00,6.00,2.00,3.00,2.00,201.00,5.00,0.79,31718.50
29000584,Fantasy World Resort - Disney / Universal Studios,118.00,6.00,2.00,3.00,2.00,8.00,5.00,0.80,34635.46
7817121,Fantasy World 2 bed/2 bath - Sea World,89.00,6.00,2.00,3.00,2.00,151.00,5.00,0.81,26448.20
20362503,"Fantasy World Resort ,free shuttle to all Parks",135.00,8.00,2.00,3.00,2.00,37.00,5.00,0.80,39214.69
19805706,Free water park! Luxury 2BR -10 minutes to Disney,95.00,6.00,2.00,3.00,2.00,69.00,4.50,0.82,28549.08
6316725,2BED/2BATH PREMIUM LARGE CONDO - VISTA CAY (2002),139.00,5.00,2.00,3.00,2.00,62.00,5.00,0.83,42152.33
6629060,Fantasy World 2br - Fantasy Boardwalk,100.00,6.00,2.00,3.00,2.00,86.00,5.00,0.76,27800.83
8608361,Fantasy World 2br - Rosie,82.00,6.00,2.00,3.00,2.00,122.00,5.00,0.80,23869.18
20483092,Fantasy World 2br - Disney MGM Studios #2,85.00,6.00,2.00,3.00,2.00,49.00,5.00,0.77,23966.81
14121078,3 mi to Disney!*Spacious 2BR/2BA+Loft Resort Condo,90.00,6.00,2.00,3.00,2.00,42.00,5.00,0.82,26964.38
12762999,Stay near Disney World at Windsor Hills Resort,90.00,6.00,2.00,3.00,2.00,80.00,5.00,0.81,26499.00
16733936,"3 Luxury Bed/Bath-Disney,Universal, Seaworld,Conv",80.00,7.00,2.00,3.00,2.00,61.00,5.00,0.74,21681.00
21275497,Kiki's Townhouse (Regal Oaks Resort),115.00,8.00,2.00,3.00,2.50,40.00,5.00,0.75,31516.23
8240267,15 Minutes From Disney ★ Full Kitchen And Balcony,78.00,5.00,2.00,3.00,1.00,81.00,5.00,0.76,21566.03
9215121,Resort in the Heart of Orlando!,78.00,4.00,2.00,3.00,2.00,108.00,5.00,0.83,23748.73
16929290,"4 Luxury Bed/Bath-Disney,Universal, Seaworld,Conv",80.00,7.00,2.00,3.00,2.00,52.00,5.00,0.79,23189.67
22158655,Sand Castle Cottage #98 at Disney,75.00,7.00,2.00,3.00,1.00,38.00,5.00,0.78,21329.69
22526082,house near parks,70.00,4.00,2.00,3.00,1.00,18.00,5.00,0.81,20610.33
20000008,MyRental Property 40,138.00,4.00,2.00,3.00,2.00,34.00,5.00,0.79,39540.45
22679214,Incredible FantasyWorld NewlyRenovated Near Disney,100.00,8.00,2.00,4.00,2.00,61.00,5.00,0.81,29382.50
4455332,Beautiful & spacious near Disney,85.00,7.00,2.00,4.00,2.00,177.00,5.00,0.78,24199.50
8932762,Fun in Fantasy very close to Disney,135.00,6.00,2.00,4.00,2.00,116.00,4.50,0.78,38188.13
21349367,BreathTaking!FantasyWorld NewlyRenovated Nr Disney,59.00,8.00,2.00,4.00,2.00,46.00,4.50,0.80,17156.22
23915896,Fantasy World Resort 2 Bedroom near Disney A,112.00,6.00,2.00,4.00,2.00,29.00,5.00,0.78,31920.47
19762740,Fantasy World 2br - Wet N Wild #3,90.00,6.00,2.00,4.00,2.00,72.00,4.50,0.77,25431.38
25297365,"Fantasy World 2br, Luxury on Wet N Wild.",97.00,6.00,2.00,4.00,2.00,34.00,5.00,0.78,27586.40
5900089,Renovated townhouse with waterpark!,119.00,6.00,2.00,4.00,2.00,96.00,5.00,0.81,35109.96
24676791,NO AIRBNB FEES! 5 Miles 2 Disney-Free Water Park-D,99.00,6.00,2.00,4.00,2.00,34.00,5.00,0.79,28606.88
23634628,Beautiful New Resort-Style Condo Near Theme Parks,114.00,5.00,2.00,4.00,2.00,45.00,5.00,0.76,31450.23
17867573,"Fantasy World 2br, Wet N Wild #2, 10min to Disney!",90.00,6.00,2.00,4.00,2.00,81.00,5.00,0.84,27429.75
2206869,Runaway Beach Club - 2br/2bath 1300 sqft sleeps 6,81.00,7.00,2.00,4.00,2.00,187.00,5.00,0.76,22444.76
933642,LUXURY VILLA 1.5 MILES TO DISNEY,77.00,5.00,2.00,4.00,2.00,75.00,5.00,0.81,22858.73
5048917,"Fantasy World 2br, Wet N Wild! Close to Disney!",97.00,6.00,2.00,5.00,2.00,204.00,4.50,0.81,28648.55
15057034,"From $99 near DisneyWorld, Pool, NETFLIX, PS4!",107.00,6.00,2.00,4.00,2.00,22.00,5.00,0.79,31016.18
5201454,2 bed/2.5 bath & hot tub by Disney,95.00,6.00,2.00,4.00,2.50,114.00,5.00,0.81,28086.75
11203116,"Rare Disney Property, 2 Bd/Slp 8 Wymdham Bonnet",150.00,8.00,2.00,4.00,2.00,19.00,5.00,0.83,45214.38
22050349,Cozy townhouse close to Disney and Universal,109.00,6.00,2.00,4.00,2.50,30.00,5.00,0.76,30269.75
21177012,Brand New 2BR home•DisneyUniversal•Private Hot Tub,120.00,6.00,2.00,4.00,2.50,33.00,5.00,0.76,33324.50
20131718,Disney/Universal Home Away from Home!,100.00,8.00,2.00,4.00,2.50,39.00,5.00,0.78,28622.08
9044487,"2 bedroom Villa near Disney,Universal,Seaworld,I-4; 2 bedroom Villa near Disney,Universal,Seaworld,I-4",79.00,6.00,2.00,4.00,2.00,164.00,5.00,0.79,22755.62
9985269,Newly Renovated Condo near Disney!,50.00,6.00,2.00,4.00,2.00,75.00,5.00,0.83,15208.33
18882626,Small World!,84.00,7.00,2.00,4.00,1.00,47.00,5.00,0.78,23863.70
2431772,DISNEY VACATION APARTMENT~EXCELLENT,65.00,6.00,2.00,5.00,2.00,172.00,4.50,0.82,19494.04
25550638,NO AIRBNB FEES! 5 Miles 2 Disney-Free Water Park-E,99.00,8.00,2.00,5.00,2.00,37.00,5.00,0.79,28576.76
13436396,Beautiful Pool and Lake View Condo Near Disney.,99.00,8.00,2.00,6.00,2.00,129.00,5.00,0.78,28034.74
7051769,Great Lake View Condo Near Disney.,125.00,8.00,2.00,6.00,2.00,189.00,5.00,0.80,36347.92
16032827,Amazing Resort Condo Near Disney.,89.00,8.00,2.00,6.00,2.00,133.00,5.00,0.83,27070.83
19800550,2BR Luxury townhome - Waterpark! 10 min to Disney,125.00,6.00,2.00,6.00,2.00,49.00,5.00,0.75,34370.83
13046652,DISNEY WORLD ORLANDO - FEEL AT HOME IN THIS PLACE,79.00,6.00,3.00,3.00,2.00,64.00,4.50,0.75,21578.19
21438273,"Nice big house, close to Disney and attractions!",75.00,9.00,3.00,3.00,2.00,73.00,4.50,0.74,20280.31
15599447,Newly updated 3BD/3.5BA town home in Vista Cay!,189.00,10.00,3.00,3.00,3.50,40.00,5.00,0.76,52486.09
19605653,Oasis Retreat by Sparkling pool!,119.00,8.00,3.00,3.00,2.00,25.00,5.00,0.83,35942.46
19716237,Resort pool smart house,199.00,8.00,3.00,3.00,2.00,22.00,5.00,0.76,54899.95
17591776,"Close by DISNEY, where Dreams come true.",100.00,6.00,3.00,3.00,2.00,35.00,5.00,0.77,28226.67
12983935,Downtown Orlando Luxury Townhouse,149.00,6.00,3.00,3.00,2.00,47.00,5.00,0.83,44867.63
22504951,DOWNTOWN ORLANDO - PRIVATE POOL HOME - RETREAT,129.00,6.00,3.00,3.00,2.00,26.00,5.00,0.81,38178.09
